round,comm_costs
1,16520
2,16520
3,16520
4,16520
5,16520
6,16520
7,16520
8,16520
9,16520
10,16520
11,16520
12,16520
13,16520
14,16520
15,16520
16,16520
17,16520
18,16520
19,16520
20,16520
21,16520
22,16520
23,16520
24,16520
25,16520
26,16520
27,16520
28,16520
29,16520
30,16520
31,16520
32,16520
33,16520
34,16520
35,16520
36,16520
37,16520
38,16520
39,16520
40,16520
41,16520
42,16520
43,16520
44,16520
45,16520
46,16520
47,16520
48,16520
49,16520
50,57820
