round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,spd_age,eod_age,spd_gender,eod_gender,p_pred_pos_age_priv,p_pred_pos_age_unpriv,tpr_age_priv,tpr_age_unpriv,p_pred_pos_gender_priv,p_pred_pos_gender_unpriv,tpr_gender_priv,tpr_gender_unpriv
22,3,0.52871,0.66201,0.52793,0.40519,0.52871,0.52871,0.52871,0.0597,0.01296,0.01168,0.00786,0.91325,0.97295,0.9727,0.98565,0.94724,0.95892,0.97764,0.9855
22,4,0.59129,0.68716,0.5919,0.53202,0.59129,0.59129,0.59129,-0.00108,-0.09976,0.03871,0.06209,0.14404,0.14296,0.31238,0.21262,0.11805,0.15675,0.19472,0.25681
22,5,0.60521,0.6885,0.60578,0.55685,0.60521,0.60521,0.60521,0.00405,-0.10223,0.03972,0.06136,0.16596,0.17001,0.35365,0.25143,0.14289,0.1826,0.23455,0.29591
22,6,0.65036,0.6624,0.65012,0.64353,0.65036,0.65036,0.65036,0.08735,-0.02612,0.11783,0.06507,0.57661,0.66397,0.80762,0.7815,0.56067,0.6785,0.74512,0.81019
22,7,0.65836,0.69657,0.65873,0.64123,0.65836,0.65836,0.65836,0.03094,-0.10187,0.0699,0.09092,0.25908,0.29002,0.5181,0.41622,0.23506,0.30496,0.38008,0.471
22,8,0.6395,0.69232,0.63995,0.61335,0.6395,0.6395,0.6395,0.01189,-0.11744,0.06061,0.08879,0.23079,0.24267,0.46984,0.3524,0.19955,0.26016,0.32114,0.40993
22,9,0.68793,0.69222,0.68806,0.68627,0.68793,0.68793,0.68793,0.06616,-0.06944,0.08242,0.07618,0.38025,0.4464,0.66794,0.59849,0.37261,0.45503,0.56463,0.64082
23,0,0.51357,0.68232,0.51439,0.36873,0.51357,0.51357,0.51357,0.00083,-0.00953,-0.00217,-0.00319,0.01957,0.02039,0.0419,0.03237,0.02156,0.01939,0.03659,0.03339
23,1,0.55864,0.68474,0.55935,0.4689,0.55864,0.55864,0.55864,-0.00487,-0.07613,0.02519,0.04221,0.09147,0.0866,0.20635,0.13022,0.07165,0.09683,0.11992,0.16213
23,2,0.60879,0.68964,0.60934,0.56274,0.60879,0.60879,0.60879,0.01922,-0.07698,0.0465,0.07523,0.16124,0.18047,0.34349,0.26651,0.14432,0.19082,0.23496,0.31019
23,3,0.50921,0.64251,0.50838,0.3575,0.50921,0.50921,0.50921,0.02796,0.00792,0.00607,0.00117,0.96558,0.99354,0.9873,0.99522,0.98111,0.98718,0.99268,0.99385
23,4,0.63343,0.69445,0.63391,0.60269,0.63343,0.63343,0.63343,0.03263,-0.08465,0.06281,0.0955,0.19826,0.23089,0.42032,0.33566,0.18005,0.24285,0.29268,0.38818
23,5,0.64186,0.67058,0.6415,0.62578,0.64186,0.64186,0.64186,0.1761,0.04513,0.13601,0.08849,0.58369,0.75979,0.8127,0.85783,0.61774,0.75375,0.79024,0.87873
23,6,0.67379,0.67829,0.67365,0.6716,0.67379,0.67379,0.67379,0.12449,-0.0012,0.11942,0.07879,0.49387,0.61836,0.75492,0.75372,0.50277,0.62219,0.70285,0.78163
23,7,0.53543,0.68698,0.5362,0.41868,0.53543,0.53543,0.53543,-0.00428,-0.0473,0.01241,0.02214,0.05398,0.0497,0.12381,0.07651,0.04291,0.05532,0.07276,0.0949
23,8,0.65429,0.67117,0.65401,0.6453,0.65429,0.65429,0.65429,0.15539,0.02862,0.13649,0.08617,0.54998,0.70537,0.78984,0.81847,0.56929,0.70577,0.7561,0.84227
23,9,0.58936,0.68984,0.58998,0.52751,0.58936,0.58936,0.58936,0.00631,-0.08613,0.03938,0.06316,0.13296,0.13927,0.29397,0.20784,0.11168,0.15106,0.18618,0.24934
24,0,0.50964,0.64569,0.50881,0.35841,0.50964,0.50964,0.50964,0.02938,0.00874,0.00604,0.00117,0.96417,0.99354,0.98667,0.9954,0.9807,0.98675,0.99268,0.99385
24,1,0.65836,0.70006,0.65875,0.63991,0.65836,0.65836,0.65836,0.06229,-0.05467,0.08115,0.11077,0.22937,0.29166,0.47365,0.41898,0.21987,0.30102,0.35935,0.47012
24,2,0.66521,0.7033,0.66558,0.64907,0.66521,0.66521,0.66521,0.06949,-0.04777,0.08012,0.10636,0.23621,0.3057,0.48698,0.43921,0.2324,0.31252,0.38089,0.48726
24,3,0.62121,0.67939,0.62072,0.58727,0.62121,0.62121,0.62121,0.21981,0.07505,0.1087,0.06817,0.63272,0.85253,0.84825,0.9233,0.71505,0.82375,0.8622,0.93036
24,4,0.62379,0.69323,0.6243,0.58718,0.62379,0.62379,0.62379,0.04707,-0.04211,0.06291,0.09805,0.16855,0.21562,0.3581,0.31598,0.16034,0.22324,0.26179,0.35984
24,5,0.68843,0.68909,0.68838,0.68812,0.68843,0.68843,0.68843,0.16278,0.02789,0.11904,0.09591,0.41726,0.58004,0.69714,0.72503,0.45309,0.57213,0.6565,0.75242
24,6,0.6385,0.6969,0.63897,0.60999,0.6385,0.6385,0.6385,0.04921,-0.05909,0.06877,0.10275,0.19448,0.2437,0.41333,0.35424,0.18395,0.25271,0.30081,0.40356
24,7,0.54321,0.67595,0.54247,0.43578,0.54321,0.54321,0.54321,0.11344,0.02963,0.02608,0.01542,0.85644,0.96987,0.95492,0.98455,0.9185,0.94457,0.96789,0.9833
24,8,0.55079,0.68879,0.55152,0.45148,0.55079,0.55079,0.55079,0.00385,-0.04423,0.02037,0.03612,0.07096,0.07481,0.15937,0.11514,0.06036,0.08073,0.10163,0.13774
24,9,0.52843,0.66795,0.52765,0.40335,0.52843,0.52843,0.52843,0.07123,0.01862,0.01623,0.00946,0.90736,0.97858,0.97016,0.98878,0.94642,0.96265,0.97846,0.98792
25,0,0.6135,0.67744,0.61298,0.57465,0.6135,0.6135,0.6135,0.21015,0.06942,0.09867,0.06124,0.65488,0.86503,0.86032,0.92974,0.73702,0.83569,0.87439,0.93563
25,1,0.55207,0.68715,0.5528,0.45458,0.55207,0.55207,0.55207,0.00809,-0.03744,0.02422,0.04289,0.07072,0.07881,0.1581,0.12065,0.06056,0.08478,0.10122,0.14411
25,2,0.54286,0.67795,0.54211,0.43451,0.54286,0.54286,0.54286,0.11876,0.03092,0.02784,0.01758,0.85408,0.97284,0.95492,0.98584,0.9187,0.94654,0.96748,0.98506
25,3,0.69879,0.69909,0.69882,0.69869,0.69879,0.69879,0.69879,0.17673,0.04501,0.11472,0.10567,0.35832,0.53505,0.64508,0.69009,0.40669,0.52142,0.61138,0.71705
25,4,0.62329,0.69449,0.6238,0.58587,0.62329,0.62329,0.62329,0.05964,-0.02096,0.06619,0.10365,0.157,0.21664,0.33841,0.31745,0.15541,0.2216,0.25488,0.35852
25,5,0.55721,0.6872,0.55793,0.46528,0.55721,0.55721,0.55721,0.01672,-0.02771,0.02947,0.0508,0.07284,0.08957,0.16381,0.1361,0.06528,0.09475,0.10935,0.16015
25,6,0.56721,0.68921,0.5679,0.48502,0.56721,0.56721,0.56721,0.0168,-0.04037,0.03632,0.06191,0.08793,0.10473,0.19873,0.15836,0.07596,0.11228,0.12724,0.18915
25,7,0.59671,0.67805,0.59613,0.544,0.59671,0.59671,0.59671,0.21938,0.07271,0.07476,0.04281,0.68623,0.90562,0.87873,0.95144,0.79039,0.86515,0.90732,0.95013
25,8,0.50107,0.51579,0.50022,0.33709,0.50107,0.50107,0.50107,0.00411,-0.00014,-2e-05,0.00058,0.99364,0.99775,0.99683,0.99669,0.99651,0.99649,0.99634,0.99692
25,9,0.53343,0.67666,0.53265,0.41344,0.53343,0.53343,0.53343,0.09029,0.0228,0.02122,0.01171,0.8885,0.97879,0.96635,0.98915,0.93759,0.95881,0.97642,0.98814
26,0,0.696,0.70622,0.69619,0.69232,0.696,0.696,0.696,0.14143,0.01905,0.09927,0.11553,0.29114,0.43257,0.57079,0.58985,0.32498,0.42425,0.51057,0.6261
26,1,0.59236,0.69005,0.59297,0.53301,0.59236,0.59236,0.59236,0.03791,-0.02552,0.05157,0.0853,0.11622,0.15413,0.25524,0.22972,0.10901,0.16059,0.18008,0.26538
26,2,0.51186,0.65601,0.51103,0.36344,0.51186,0.51186,0.51186,0.03945,0.01146,0.00766,0.00239,0.9545,0.99395,0.98413,0.99559,0.97701,0.98466,0.99146,0.99385
26,3,0.58071,0.69125,0.58136,0.51076,0.58071,0.58071,0.58071,0.03967,-0.01105,0.04924,0.08107,0.09335,0.13302,0.21079,0.19974,0.08889,0.13813,0.14959,0.23067
26,4,0.524,0.67589,0.5232,0.39144,0.524,0.524,0.524,0.07041,0.02023,0.01376,0.00751,0.91678,0.98719,0.97333,0.99356,0.95689,0.97064,0.98415,0.99165
26,5,0.70007,0.70057,0.70011,0.69991,0.70007,0.70007,0.70007,0.18855,0.05769,0.11836,0.10994,0.34465,0.5332,0.63111,0.6888,0.39889,0.51725,0.60447,0.71441
26,6,0.55271,0.68013,0.55199,0.45548,0.55271,0.55271,0.55271,0.14642,0.04376,0.03421,0.0201,0.81966,0.96608,0.93968,0.98345,0.8994,0.93362,0.96057,0.98067
26,7,0.58379,0.69101,0.58443,0.51667,0.58379,0.58379,0.58379,0.03809,-0.01803,0.04949,0.08173,0.09995,0.13804,0.22476,0.20673,0.09423,0.14372,0.15772,0.23946
26,8,0.62736,0.69639,0.62786,0.59197,0.62736,0.62736,0.62736,0.06632,-0.01199,0.07141,0.11298,0.15842,0.22474,0.34159,0.32959,0.15808,0.22949,0.25894,0.37192
26,9,0.63814,0.69652,0.63861,0.60956,0.63814,0.63814,0.63814,0.07867,-0.0066,0.07694,0.11376,0.17374,0.25241,0.37206,0.36546,0.1784,0.25534,0.29309,0.40685
27,0,0.54443,0.69093,0.54518,0.4375,0.54443,0.54443,0.54443,0.0101,-0.02335,0.01812,0.03211,0.05611,0.0662,0.12635,0.103,0.05132,0.06945,0.0874,0.11951
