round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,spd_age,eod_age,spd_gender,eod_gender,p_pred_pos_age_priv,p_pred_pos_age_unpriv,tpr_age_priv,tpr_age_unpriv,p_pred_pos_gender_priv,p_pred_pos_gender_unpriv,tpr_gender_priv,tpr_gender_unpriv
34,6,0.60321,0.66599,0.60495,0.56387,0.60321,0.60321,0.60321,0.34529,0.18682,0.1168,0.08699,0.56176,0.90705,0.76543,0.95225,0.72671,0.84351,0.85065,0.93763
34,7,0.56857,0.68252,0.57025,0.49118,0.56857,0.56857,0.56857,0.24409,0.10346,0.06814,0.03163,0.72293,0.96703,0.88344,0.98689,0.84802,0.91616,0.94203,0.97366
34,8,0.60464,0.68124,0.60534,0.55875,0.60464,0.60464,0.60464,0.33897,0.18271,0.09613,0.06496,0.58726,0.92623,0.78618,0.96889,0.76157,0.8577,0.8878,0.95276
34,9,0.69536,0.70896,0.69651,0.69109,0.69536,0.69536,0.69536,0.22004,0.1477,0.09411,0.10246,0.22783,0.44788,0.46132,0.60902,0.31665,0.41076,0.50605,0.60851
35,0,0.51429,0.50717,0.5001,0.34289,0.51429,0.51429,0.51429,-0.00183,-0.00059,0.00207,0.00675,0.99769,0.99586,0.99698,0.99639,0.99511,0.99719,0.99217,0.99892
35,1,0.54857,0.68283,0.55515,0.45735,0.54857,0.54857,0.54857,0.03803,0.01546,0.02095,0.0354,0.056,0.09403,0.12463,0.14009,0.06851,0.08946,0.11373,0.14912
35,2,0.58393,0.70408,0.57834,0.50485,0.58393,0.58393,0.58393,0.07311,0.05415,0.04321,0.06358,0.05622,0.12933,0.14474,0.19888,0.07895,0.12216,0.14471,0.20829
35,3,0.57071,0.69083,0.57324,0.49404,0.57071,0.57071,0.57071,0.26528,0.10647,0.03874,0.02368,0.70623,0.97152,0.88255,0.98902,0.86708,0.90582,0.95043,0.97411
35,4,0.68571,0.70098,0.68419,0.67848,0.68571,0.68571,0.68571,0.24343,0.19284,0.12556,0.19156,0.18348,0.42691,0.39073,0.58356,0.27357,0.39912,0.4198,0.61136
35,5,0.56607,0.69914,0.55674,0.46541,0.56607,0.56607,0.56607,0.04888,0.03515,0.03889,0.078,0.04291,0.09179,0.10784,0.14299,0.05232,0.09121,0.08671,0.16471
35,6,0.60714,0.69094,0.60523,0.55652,0.60714,0.60714,0.60714,0.09669,0.10761,0.09702,0.14619,0.09739,0.19408,0.18827,0.29588,0.10145,0.19847,0.17316,0.31935
35,7,0.64893,0.70882,0.64777,0.62077,0.64893,0.64893,0.64893,0.15662,0.12509,0.09335,0.12862,0.12107,0.27769,0.28221,0.4073,0.1692,0.26255,0.294,0.42261
35,8,0.60036,0.68277,0.60107,0.55044,0.60036,0.60036,0.60036,0.32896,0.17413,0.09246,0.05962,0.60495,0.93391,0.79934,0.97347,0.77465,0.86711,0.89764,0.95726
35,9,0.66536,0.69168,0.66359,0.65198,0.66536,0.66536,0.66536,0.40341,0.21261,0.12393,0.06939,0.41639,0.8198,0.69341,0.90602,0.61083,0.73476,0.80847,0.87786
36,0,0.66357,0.71317,0.67014,0.64794,0.66357,0.66357,0.66357,0.14773,0.08133,0.15145,0.21531,0.17301,0.32074,0.37764,0.45897,0.17889,0.33033,0.30137,0.51668
36,1,0.65821,0.69363,0.66146,0.64455,0.65821,0.65821,0.65821,0.17964,0.14519,0.11558,0.14995,0.17257,0.35221,0.34421,0.4894,0.22086,0.33644,0.35882,0.50877
36,2,0.62929,0.68795,0.63317,0.60177,0.62929,0.62929,0.62929,0.4088,0.21576,0.11232,0.08142,0.48325,0.89206,0.73684,0.9526,0.69579,0.80811,0.85097,0.93239
36,3,0.53857,0.68653,0.53568,0.41953,0.53857,0.53857,0.53857,0.03415,0.02865,0.03719,0.06801,0.02638,0.06053,0.06376,0.09241,0.02596,0.06315,0.04095,0.10895
36,4,0.62,0.68368,0.61678,0.58042,0.62,0.62,0.62,0.14134,0.12495,0.07936,0.13309,0.09842,0.23976,0.21854,0.34349,0.14652,0.22588,0.23168,0.36477
36,5,0.55821,0.6941,0.54865,0.44978,0.55821,0.55821,0.55821,0.04481,0.03688,0.03251,0.06411,0.03576,0.08057,0.08824,0.12512,0.0464,0.0789,0.07707,0.14118
36,6,0.70571,0.70584,0.70577,0.7057,0.70571,0.70571,0.70571,0.28332,0.20138,0.16432,0.15519,0.31116,0.59448,0.56173,0.76311,0.40166,0.56598,0.61255,0.76774
36,7,0.69464,0.69987,0.69498,0.69287,0.69464,0.69464,0.69464,0.34878,0.18952,0.17478,0.14845,0.33644,0.68521,0.62883,0.81835,0.46505,0.63982,0.67702,0.82547
36,8,0.51643,0.69306,0.5154,0.3711,0.51643,0.51643,0.51643,0.01398,0.01631,0.00661,0.00984,0.01061,0.02459,0.02303,0.03934,0.0161,0.0227,0.02953,0.03937
36,9,0.67571,0.70294,0.67738,0.66573,0.67571,0.67571,0.67571,0.19976,0.14795,0.08281,0.11222,0.18631,0.38607,0.38682,0.53477,0.26864,0.35146,0.4254,0.53762
37,0,0.50571,0.68699,0.51926,0.37357,0.50571,0.50571,0.50571,0.00821,-0.00415,0.01854,0.0275,0.02076,0.02897,0.04834,0.04418,0.01466,0.0332,0.0274,0.0549
37,1,0.58357,0.68609,0.58926,0.52435,0.58357,0.58357,0.58357,0.0879,0.06824,0.06477,0.10958,0.07886,0.16675,0.17507,0.24332,0.09714,0.16191,0.15686,0.26645
37,2,0.69893,0.70977,0.69722,0.69378,0.69893,0.69893,0.69893,0.23805,0.15851,0.15235,0.15081,0.21053,0.44857,0.45395,0.61245,0.27684,0.42919,0.47732,0.62814
37,3,0.50179,0.69409,0.50496,0.34407,0.50179,0.50179,0.50179,0.01475,-0.00183,-0.00188,0.00108,0.98321,0.99797,1.0,0.99817,0.99481,0.99292,0.99784,0.99892
37,4,0.68321,0.69816,0.68464,0.67816,0.68321,0.68321,0.68321,0.40798,0.23643,0.13145,0.13635,0.34265,0.75063,0.63245,0.86888,0.54508,0.67654,0.73069,0.86705
37,5,0.57643,0.68306,0.58459,0.51507,0.57643,0.57643,0.57643,0.2829,0.11235,0.04958,0.0178,0.66865,0.95156,0.86601,0.97836,0.83514,0.88472,0.9422,0.96
37,6,0.66071,0.68282,0.66169,0.65096,0.66071,0.66071,0.66071,0.36029,0.20825,0.1742,0.12528,0.41805,0.77835,0.67284,0.88109,0.5559,0.7301,0.74892,0.87419
37,7,0.52607,0.66388,0.52409,0.39609,0.52607,0.52607,0.52607,0.03329,0.02941,0.01364,0.02263,0.01513,0.04843,0.03988,0.06929,0.02938,0.04302,0.04762,0.07025
37,8,0.515,0.67148,0.51602,0.37369,0.515,0.515,0.515,0.0604,0.01937,0.01749,0.00619,0.93396,0.99436,0.97697,0.99634,0.96479,0.98228,0.98819,0.99438
37,9,0.6675,0.70247,0.66939,0.654,0.6675,0.6675,0.6675,0.18831,0.15038,0.09989,0.14283,0.16947,0.35778,0.35244,0.50282,0.23289,0.33278,0.37298,0.51581
38,0,0.69571,0.69547,0.69549,0.69548,0.69571,0.69571,0.69571,0.31621,0.17201,0.17926,0.18041,0.29527,0.61148,0.571,0.74301,0.3998,0.57907,0.58708,0.76749
38,1,0.56179,0.68726,0.56807,0.48267,0.56179,0.56179,0.56179,0.05725,0.04527,0.02962,0.05417,0.06171,0.11896,0.13353,0.1788,0.0818,0.11142,0.13333,0.1875
38,2,0.60464,0.70791,0.59951,0.54263,0.60464,0.60464,0.60464,0.09574,0.0798,0.06211,0.08793,0.07177,0.16752,0.17763,0.25743,0.09789,0.16,0.18143,0.26936
38,3,0.61893,0.71045,0.61679,0.57018,0.61893,0.61893,0.61893,0.12774,0.11797,0.0954,0.16416,0.07674,0.20448,0.19128,0.30924,0.10384,0.19924,0.17457,0.33873
38,4,0.68786,0.69931,0.68652,0.68231,0.68786,0.68786,0.68786,0.26528,0.21869,0.1278,0.18598,0.18591,0.45119,0.39073,0.60942,0.28996,0.41776,0.44356,0.62955
38,5,0.51464,0.66457,0.52486,0.39165,0.51464,0.51464,0.51464,0.08516,0.02421,0.01733,0.00558,0.90107,0.98623,0.96732,0.99153,0.94965,0.96698,0.98266,0.98824
38,6,0.54714,0.67322,0.54468,0.44231,0.54714,0.54714,0.54714,0.03794,0.04428,0.0473,0.07377,0.04276,0.08069,0.08025,0.12453,0.0383,0.08561,0.06494,0.13871
38,7,0.70214,0.70215,0.70212,0.70212,0.70214,0.70214,0.70214,0.3264,0.21158,0.15874,0.17136,0.26659,0.59299,0.53374,0.74532,0.39007,0.54881,0.58385,0.75521
38,8,0.52429,0.68913,0.52328,0.38993,0.52429,0.52429,0.52429,0.0253,0.0284,0.00873,0.01856,0.01415,0.03945,0.03289,0.0613,0.02616,0.03488,0.04331,0.06187
38,9,0.60036,0.68643,0.60346,0.55187,0.60036,0.60036,0.60036,0.119,0.10981,0.05958,0.10062,0.0853,0.2043,0.18625,0.29605,0.12768,0.18726,0.20363,0.30425
39,0,0.69143,0.70385,0.69465,0.68874,0.69143,0.69143,0.69143,0.24828,0.15152,0.15694,0.19224,0.22145,0.46974,0.46526,0.61677,0.29326,0.4502,0.45793,0.65016
39,1,0.67893,0.67946,0.67834,0.67818,0.67893,0.67893,0.67893,0.35044,0.21878,0.15944,0.17459,0.29943,0.64987,0.54896,0.76774,0.43661,0.59605,0.60392,0.77851
39,2,0.61821,0.70687,0.61344,0.56724,0.61821,0.61821,0.61821,0.12115,0.11311,0.08401,0.12082,0.07895,0.2001,0.19079,0.3039,0.10842,0.19243,0.1987,0.31952
39,3,0.6925,0.69951,0.69188,0.68933,0.6925,0.6925,0.6925,0.30804,0.23653,0.16661,0.19791,0.18585,0.4939,0.4094,0.64593,0.29283,0.45944,0.46336,0.66127
39,4,0.67536,0.7015,0.67724,0.6659,0.67536,0.67536,0.67536,0.43254,0.25203,0.11074,0.111,0.36817,0.80071,0.65563,0.90766,0.60143,0.71217,0.78218,0.89318
39,5,0.525,0.66872,0.53488,0.41459,0.525,0.525,0.525,0.1279,0.04288,0.02266,0.00975,0.85578,0.98368,0.94771,0.99059,0.9309,0.95355,0.97495,0.98471
39,6,0.62464,0.67164,0.62612,0.59862,0.62464,0.62464,0.62464,0.37163,0.19923,0.14026,0.09578,0.49762,0.86925,0.73148,0.93071,0.66563,0.80589,0.82035,0.91613
39,7,0.64107,0.70642,0.63986,0.60908,0.64107,0.64107,0.64107,0.16223,0.14905,0.0943,0.13687,0.10361,0.26584,0.24233,0.39139,0.15502,0.24931,0.26708,0.40395
39,8,0.60464,0.67896,0.60533,0.55965,0.60464,0.60464,0.60464,0.36701,0.20007,0.09638,0.06665,0.56486,0.93186,0.76974,0.96981,0.75855,0.85493,0.88386,0.95051
39,9,0.56643,0.67534,0.57003,0.49196,0.56643,0.56643,0.56643,0.07611,0.0665,0.03791,0.06901,0.06061,0.13672,0.13181,0.19831,0.08784,0.12576,0.1371,0.20611
